"","STATECD","COUNTYCD","S_1_pct","S_2_pct","H_2527_pct","H_2628_pct","H_31_pct","H_32_pct","H_34_pct","H_35_pct","FIPS"
"1",1,1,0.418604651162791,0.906976744186046,0.325581395348837,0.697674418604651,0.0232558139534884,0.232558139534884,0.302325581395349,0.255813953488372,1001
"2",1,3,0.782258064516129,0.209677419354839,0.225806451612903,0.411290322580645,0,0.241935483870968,0.145161290322581,0.314516129032258,1003
"3",1,5,0.228571428571429,0.8,0.285714285714286,0.7,0.0285714285714286,0.185714285714286,0.728571428571429,0.185714285714286,1005
"4",1,7,0.215384615384615,0.892307692307692,0.461538461538462,0.815384615384615,0.0153846153846154,0.276923076923077,0.476923076923077,0.338461538461538,1007
"5",1,9,0,0.794871794871795,0.717948717948718,0.692307692307692,0,0.384615384615385,0.282051282051282,0.487179487179487,1009
"6",1,11,0,0.808510638297872,0.170212765957447,0.659574468085106,0.0212765957446809,0.191489361702128,0.638297872340426,0.170212765957447,1011
"7",1,13,0.191176470588235,0.794117647058823,0.294117647058824,0.691176470588235,0.0294117647058824,0.308823529411765,0.735294117647059,0.411764705882353,1013
"8",1,15,0.162790697674419,0.720930232558139,0.720930232558139,0.720930232558139,0.0232558139534884,0.13953488372093,0.348837209302326,0.395348837209302,1015
"9",1,17,0,0.882352941176471,0.333333333333333,0.607843137254902,0,0.156862745098039,0.647058823529412,0.137254901960784,1017
"10",1,19,0.027027027027027,0.837837837837838,0.648648648648649,0.810810810810811,0.027027027027027,0.162162162162162,0.216216216216216,0.378378378378378,1019
"11",1,21,0.310344827586207,0.896551724137931,0.568965517241379,0.724137931034483,0.0344827586206897,0.362068965517241,0.46551724137931,0.310344827586207,1021
"12",1,23,0.0804597701149425,0.827586206896552,0.471264367816092,0.770114942528736,0.0459770114942529,0.402298850574713,0.770114942528736,0.390804597701149,1023
"13",1,25,0.169230769230769,0.761538461538461,0.407692307692308,0.761538461538461,0.0538461538461538,0.276923076923077,0.669230769230769,0.392307692307692,1025
"14",1,27,0.241379310344828,0.741379310344828,0.586206896551724,0.758620689655172,0,0.327586206896552,0.396551724137931,0.413793103448276,1027
"15",1,29,0.111111111111111,0.851851851851852,0.722222222222222,0.740740740740741,0,0.277777777777778,0.314814814814815,0.388888888888889,1029
"16",1,31,0.35,0.675,0.5,0.85,0,0.175,0.6,0.325,1031
"17",1,33,0,0.585365853658537,0.878048780487805,0.634146341463415,0.146341463414634,0.219512195121951,0.341463414634146,0.341463414634146,1033
"18",1,35,0.347826086956522,0.710144927536232,0.376811594202899,0.797101449275362,0.0434782608695652,0.202898550724638,0.521739130434783,0.333333333333333,1035
"19",1,37,0.262295081967213,0.836065573770492,0.524590163934426,0.737704918032787,0,0.19672131147541,0.557377049180328,0.311475409836066,1037
"20",1,39,0.6,0.506666666666667,0.24,0.653333333333333,0.0133333333333333,0.186666666666667,0.2,0.333333333333333,1039
"21",1,41,0.266666666666667,0.777777777777778,0.422222222222222,0.688888888888889,0.111111111111111,0.377777777777778,0.644444444444444,0.422222222222222,1041
"22",1,43,0,0.844444444444444,0.6,0.577777777777778,0,0.377777777777778,0.311111111111111,0.422222222222222,1043
"23",1,45,0.142857142857143,0.666666666666667,0.357142857142857,0.785714285714286,0.0238095238095238,0.261904761904762,0.595238095238095,0.404761904761905,1045
"24",1,47,0.0172413793103448,0.793103448275862,0.310344827586207,0.775862068965517,0.0689655172413793,0.189655172413793,0.758620689655172,0.327586206896552,1047
"25",1,49,0,0.711111111111111,0.666666666666667,0.711111111111111,0,0.466666666666667,0.244444444444444,0.4,1049
"26",1,51,0.155555555555556,0.822222222222222,0.533333333333333,0.666666666666667,0.0444444444444444,0.288888888888889,0.688888888888889,0.288888888888889,1051
"27",1,53,0.825581395348837,0.197674418604651,0.22093023255814,0.593023255813954,0.0116279069767442,0.13953488372093,0.22093023255814,0.372093023255814,1053
"28",1,55,0,0.806451612903226,0.580645161290323,0.709677419354839,0,0.193548387096774,0.516129032258065,0.32258064516129,1055
"29",1,57,0,0.741379310344828,0.551724137931034,0.724137931034483,0.0172413793103448,0.362068965517241,0.517241379310345,0.431034482758621,1057
"30",1,59,0,0.716981132075472,0.735849056603774,0.754716981132076,0.0754716981132075,0.245283018867925,0.264150943396226,0.377358490566038,1059
"31",1,61,0.516129032258065,0.193548387096774,0.225806451612903,0.580645161290323,0,0.354838709677419,0.451612903225806,0.548387096774194,1061
"32",1,63,0,0.617021276595745,0.297872340425532,0.74468085106383,0,0.170212765957447,0.765957446808511,0.276595744680851,1063
"33",1,65,0.0731707317073171,0.829268292682927,0.463414634146341,0.902439024390244,0,0.341463414634146,0.853658536585366,0.439024390243902,1065
"34",1,67,0.214285714285714,0.833333333333333,0.285714285714286,0.666666666666667,0.0476190476190476,0.119047619047619,0.595238095238095,0.214285714285714,1067
"35",1,69,0.5,0.461538461538462,0.192307692307692,0.769230769230769,0.0384615384615385,0.192307692307692,0.384615384615385,0.423076923076923,1069
"36",1,71,0,0.160493827160494,0.864197530864197,0.740740740740741,0.246913580246914,0.283950617283951,0.209876543209877,0.37037037037037,1071
"37",1,73,0.113636363636364,0.875,0.602272727272727,0.590909090909091,0.0909090909090909,0.181818181818182,0.352272727272727,0.420454545454545,1073
"38",1,75,0,0.725490196078431,0.509803921568627,0.745098039215686,0,0.392156862745098,0.627450980392157,0.470588235294118,1075
"39",1,77,0,0.37037037037037,0.851851851851852,0.851851851851852,0.037037037037037,0.148148148148148,0.259259259259259,0.518518518518518,1077
