"","STATECD","COUNTYCD","S_1_pct","S_2_pct","H_2527_pct","H_2628_pct","H_31_pct","H_32_pct","H_34_pct","H_35_pct"
"61",1,123,0.0649350649350649,0.844155844155844,0.512987012987013,0.805194805194805,0.051948051948052,0.441558441558442,0.746753246753247,0.220779220779221
"62",1,125,0.0510510510510511,0.801801801801802,0.552552552552553,0.732732732732733,0.132132132132132,0.555555555555556,0.732732732732733,0.426426426426426
"63",1,127,0.0101010101010101,0.772727272727273,0.52020202020202,0.676767676767677,0.0808080808080808,0.545454545454545,0.585858585858586,0.409090909090909
"64",1,129,0.505119453924915,0.750853242320819,0.276450511945392,0.784982935153584,0,0.508532423208191,0.47098976109215,0.546075085324232
"65",1,131,0,0.888372093023256,0.32093023255814,0.716279069767442,0.0790697674418605,0.283720930232558,0.841860465116279,0.204651162790698
"66",1,133,0,0.801324503311258,0.701986754966887,0.576158940397351,0.0596026490066225,0.675496688741722,0.337748344370861,0.509933774834437
"67",12,1,0.609195402298851,0.293103448275862,0.293103448275862,0.557471264367816,0,0.14367816091954,0.28735632183908,0.149425287356322
"68",12,3,0.909638554216867,0.0481927710843374,0.0301204819277108,0.120481927710843,0,0.0963855421686747,0.036144578313253,0.289156626506024
"69",12,5,0.902298850574713,0.0402298850574713,0.0229885057471264,0.160919540229885,0,0.028735632183908,0,0.166666666666667
"70",12,7,0.6625,0.3125,0.1875,0.55,0,0.3375,0.3,0.3125
"71",12,9,0.487394957983193,0,0.327731092436975,0.151260504201681,0,0.210084033613445,0.00840336134453781,0.0168067226890756
"72",12,11,0,0,0,0,0,0,0,0
"73",12,13,0.75625,0.1875,0.0875,0.24375,0,0.1,0.225,0.375
"74",12,15,0.74,0,0.12,0.02,0,0,0,0
"75",12,17,0.558333333333333,0.133333333333333,0.508333333333333,0.433333333333333,0,0.25,0.208333333333333,0.133333333333333
"76",12,19,0.766423357664234,0.233576642335766,0.153284671532847,0.54014598540146,0,0.27007299270073,0.321167883211679,0.37956204379562
"77",12,21,0.484536082474227,0,0.199312714776632,0.223367697594502,0,0.164948453608247,0,0.00343642611683849
"78",12,23,0.685185185185185,0.277777777777778,0.203703703703704,0.412037037037037,0,0.189814814814815,0.171296296296296,0.393518518518519
"79",12,27,0.0576923076923077,0,0.673076923076923,0.519230769230769,0,0.480769230769231,0,0.115384615384615
"80",12,29,0.631868131868132,0.148351648351648,0.225274725274725,0.576923076923077,0,0.423076923076923,0.373626373626374,0.269230769230769
"81",12,31,0.760683760683761,0.213675213675214,0.256410256410256,0.47008547008547,0,0.418803418803419,0.136752136752137,0.282051282051282
"82",12,33,0.716666666666667,0.383333333333333,0.183333333333333,0.691666666666667,0,0.158333333333333,0.0666666666666667,0.325
"83",12,35,0.851485148514851,0.138613861386139,0.118811881188119,0.257425742574257,0,0.178217821782178,0.237623762376238,0.158415841584158
"84",12,37,0.825301204819277,0.0602409638554217,0.108433734939759,0.162650602409639,0,0.132530120481928,0.0120481927710843,0.259036144578313
"85",12,39,0.396946564885496,0.679389312977099,0.320610687022901,0.824427480916031,0.099236641221374,0.290076335877863,0.557251908396947,0.290076335877863
"86",12,41,0.898550724637681,0.0289855072463768,0.333333333333333,0.521739130434783,0,0.0289855072463768,0.0869565217391304,0.0869565217391304
"87",12,43,0.371134020618557,0,0.463917525773196,0.0824742268041237,0,0.0412371134020619,0,0
"88",12,45,0.754966887417219,0.139072847682119,0.0529801324503311,0.19205298013245,0,0.19205298013245,0.0993377483443709,0.410596026490066
"89",12,47,0.628571428571429,0.314285714285714,0.142857142857143,0.561904761904762,0.019047619047619,0.428571428571429,0.247619047619048,0.447619047619048
"90",12,49,0.483333333333333,0,0.766666666666667,0.683333333333333,0,0.333333333333333,0.2,0.15
"91",12,51,0.369230769230769,0,0.6,0.230769230769231,0,0.169230769230769,0,0
"92",12,53,0.55952380952381,0.107142857142857,0.678571428571429,0.619047619047619,0,0.0952380952380952,0.380952380952381,0.19047619047619
"93",12,55,0.753846153846154,0,0.523076923076923,0.215384615384615,0,0.0769230769230769,0,0.0461538461538462
"94",12,57,0.262626262626263,0,0.424242424242424,0.616161616161616,0,0.323232323232323,0.101010101010101,0.202020202020202
"95",12,59,0.556451612903226,0.346774193548387,0.209677419354839,0.612903225806452,0,0.241935483870968,0.241935483870968,0.588709677419355
"96",12,61,0.757575757575758,0,0.424242424242424,0.484848484848485,0,0,0,0
"97",12,63,0.391705069124424,0.456221198156682,0.32258064516129,0.626728110599078,0.0138248847926267,0.230414746543779,0.313364055299539,0.410138248847926
"98",12,65,0.434210526315789,0.453947368421053,0.328947368421053,0.546052631578947,0,0.335526315789474,0.401315789473684,0.539473684210526
"99",12,67,0.661971830985915,0.190140845070423,0.302816901408451,0.457746478873239,0,0.23943661971831,0.21830985915493,0.253521126760563
"100",12,69,0.385964912280702,0.0526315789473684,0.304093567251462,0.304093567251462,0,0.251461988304094,0.105263157894737,0.257309941520468
"101",12,71,0.6875,0,0.0892857142857143,0.0982142857142857,0,0,0,0
"102",12,73,0.557377049180328,0.278688524590164,0.295081967213115,0.448087431693989,0,0.120218579234973,0.256830601092896,0.295081967213115
